age,job,marital,education,default,balance,housing,loan,duration
58,management,married,tertiary,no,2143,yes,no,261
44,technician,single,secondary,no,29,yes,no,151
33,entrepreneur,married,secondary,no,2,yes,yes,76
47,blue-collar,married,unknown,no,1506,yes,no,92
33,unknown,single,unknown,no,1,no,no,198
35,management,married,tertiary,no,231,yes,no,139
28,management,single,tertiary,no,447,yes,yes,217
42,entrepreneur,divorced,tertiary,yes,2,yes,no,380
58,retired,married,primary,no,121,yes,no,50
43,technician,single,secondary,no,593,yes,no,55
41,admin.,divorced,secondary,no,270,yes,no,222
29,admin.,single,secondary,no,390,yes,no,137
53,technician,married,secondary,no,6,yes,no,517
58,technician,married,unknown,no,71,yes,no,71
57,services,married,secondary,no,162,yes,no,174
51,retired,married,primary,no,229,yes,no,353
45,admin.,single,unknown,no,13,yes,no,98
57,blue-collar,married,primary,no,52,yes,no,38
60,retired,married,primary,no,60,yes,no,219
33,services,married,secondary,no,0,yes,no,54
28,blue-collar,married,secondary,no,723,yes,yes,262
56,management,married,tertiary,no,779,yes,no,164
32,blue-collar,single,primary,no,23,yes,yes,160
25,services,married,secondary,no,50,yes,no,342
40,retired,married,primary,no,0,yes,yes,181
44,admin.,married,secondary,no,-372,yes,no,172
39,management,single,tertiary,no,255,yes,no,296
52,entrepreneur,married,secondary,no,113,yes,yes,127
46,management,single,secondary,no,-246,yes,no,255
36,technician,single,secondary,no,265,yes,yes,348
57,technician,married,secondary,no,839,no,yes,225
49,management,married,tertiary,no,378,yes,no,230
60,admin.,married,secondary,no,39,yes,yes,208
59,blue-collar,married,secondary,no,0,yes,no,226
51,management,married,tertiary,no,10635,yes,no,336
57,technician,divorced,secondary,no,63,yes,no,242
25,blue-collar,married,secondary,no,-7,yes,no,365
53,technician,married,secondary,no,-3,no,no,1666
36,admin.,divorced,secondary,no,506,yes,no,577
37,admin.,single,secondary,no,0,yes,no,137
44,services,divorced,secondary,no,2586,yes,no,160
50,management,married,secondary,no,49,yes,no,180
60,blue-collar,married,unknown,no,104,yes,no,22
54,retired,married,secondary,no,529,yes,no,1492
58,retired,married,unknown,no,96,yes,no,616
36,admin.,single,primary,no,-171,yes,no,242
58,self-employed,married,tertiary,no,-364,yes,no,355
44,technician,married,secondary,no,0,yes,no,225
55,technician,divorced,secondary,no,0,no,no,160
29,management,single,tertiary,no,0,yes,no,363
54,blue-collar,married,secondary,no,1291,yes,no,266
48,management,divorced,tertiary,no,-244,yes,no,253
32,management,married,tertiary,no,0,yes,no,179
42,admin.,single,secondary,no,-76,yes,no,787
24,technician,single,secondary,no,-103,yes,yes,145
38,entrepreneur,single,tertiary,no,243,no,yes,174
38,management,single,tertiary,no,424,yes,no,104
47,blue-collar,married,unknown,no,306,yes,no,13
40,blue-collar,single,unknown,no,24,yes,no,185
46,services,married,primary,no,179,yes,no,1778
32,admin.,married,tertiary,no,0,yes,no,138
53,technician,divorced,secondary,no,989,yes,no,812
57,blue-collar,married,primary,no,249,yes,no,164
33,services,married,secondary,no,790,yes,no,391
49,blue-collar,married,unknown,no,154,yes,no,357
51,management,married,tertiary,no,6530,yes,no,91
60,retired,married,tertiary,no,100,no,no,528
59,management,divorced,tertiary,no,59,yes,no,273
55,technician,married,secondary,no,1205,yes,no,158
35,blue-collar,single,secondary,no,12223,yes,yes,177
57,blue-collar,married,secondary,no,5935,yes,yes,258
31,services,married,secondary,no,25,yes,yes,172
54,management,married,secondary,no,282,yes,yes,154
55,blue-collar,married,primary,no,23,yes,no,291
43,technician,married,secondary,no,1937,yes,no,181
53,technician,married,secondary,no,384,yes,no,176
44,blue-collar,married,secondary,no,582,no,yes,211
55,services,divorced,secondary,no,91,no,no,349
49,services,divorced,secondary,no,0,yes,yes,272
